StudyID,Authors,observations,Fever_37.3up,Fever_38up,Fever_39up,Fever,Cough,Sputumproduction,Sorethroat,Myalgia,Fatigue,Shortnessofbreath,Dyspnea,Headache,Nausea,Diarrhea,setting,Ethics,Date_first_time,Date_last,control_number,age_mean,age_median
55_221,Wu et al.,44672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,NA,2020/2/11,27642,NA,NA
55_222,Xia et al.,20,NA,NA,NA,12,13,NA,NA,NA,1,2,NA,NA,NA,3,Case Series,China,2020/1/23,2020/2/8,NA,NA,2.125
55_226,Xu et al.,48,NA,NA,NA,28,16,NA,1,5,NA,NA,1,3,NA,4,Case Series,China,2020/1/6,2020/1/31,NA,39.08,NA
55_227,Xu et al.,633,NA,NA,NA,507,201,NA,NA,NA,84,NA,NA,NA,NA,15,Cohort,China,2020/1/15,2020/2/19,NA,51,NA
55_23,Chang et al.,13,NA,NA,NA,NA,6,NA,NA,3,NA,NA,NA,3,NA,1,Case Series,China,2020/1/16,2020/1/29,NA,NA,34
55_232,Xu et al.,55,NA,NA,NA,47,28,10,NA,11,NA,NA,NA,6,NA,2,Case Series,China,2020/1/4,2020/2/16,NA,44.93,NA
55_233,Yan et al.,375,NA,NA,NA,187,52,NA,NA,2,14,NA,8,NA,NA,NA,Case Series,China,2020/1/10,2020/2/18,NA,58.83,NA
55_235,Yang et al.,12,7,2,2,7,3,2,1,1,0,NA,0,3,0,0,Case Series,China,2020/1/25,2020/2/28,NA,NA,33
55_236,Yang et al.,55,48,29,9,47,28,11,9,11,15,NA,5,6,NA,2,Case Series,China,2019/12/27,2020/2/18,NA,NA,44
55_237-mild,Yang et al.,65,NA,NA,NA,51,39,51,NA,57,NA,59,NA,62,NA,54,Cohort,China,2020/1/1,2020/3/31,NA,41.22,NA
55_237-severe,Yang et al.,68,NA,NA,NA,40,29,46,NA,48,NA,29,NA,62,NA,63,Cohort,China,2020/1/1,2020/3/31,NA,59.97,NA
55_240,Yang et al.,44,NA,NA,NA,42,6,5,NA,NA,7,NA,NA,NA,NA,NA,Case Series,China,2020/1/20,2020/1/30,NA,NA,48.5
55_241,Yang et al.,149,NA,NA,NA,114,87,48,21,5,NA,NA,2,13,2,11,Cohort,China,2020/1/17,2020/2/10,NA,45.11,NA
55_244,Yin et al.,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Control,China,2020/1/1,2020/1/31,NA,52.4,NA
55_245-non pregnant,Yin et al.,35,NA,NA,NA,30,16,10,NA,6,12,NA,9,1,4,8,Cohort,China,2020/1/28,2020/2/28,NA,32.9,NA
55_246,Yu et al.,82,NA,NA,NA,14,14,NA,NA,NA,NA,2,NA,NA,NA,NA,Case Series,China,2020/2/1,2020/2/20,NA,NA,NA
55_247,Yu et al.,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/2/1,2020/3/3,NA,NA,NA
55_249,Yu et al.,226,45,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/2/26,2020/2/27,NA,NA,64
55_251,Zeng et al.,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/2/16,2020/3/6,NA,NA,NA
55_253,Zhang et al.,82,NA,NA,NA,64,53,NA,4,NA,38,52,NA,NA,NA,10,Case Series,China,2020/1/11,2020/2/10,NA,NA,72.5
55_254,Zhang et al.,5,3,2,NA,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,Case Series,China,2020/1/22,NA,NA,39.6,NA
55_255,Zhang et al.,221,200,143,39,200,136,NA,NA,NA,156,NA,64,17,NA,25,Case Series,China,2020/1/2,2020/2/10,NA,NA,55
55_256,Zhang et al.,140,NA,NA,NA,110,90,NA,NA,NA,90,NA,44,NA,24,18,Case Series,China,2020/1/16,2020/2/3,NA,NA,57
55_26-mobile cabin hospital(prospective),Chen et al.,263,107,65,9,107,128,NA,55,NA,75,38,17,45,NA,51,Case Series,China,2020/2/1,2020/3/1,NA,NA,40
55_26-hospital(retrospective),Chen et al.,271,220,162,38,220,220,NA,54,NA,135,50,103,76,NA,117,Case Series,China,2020/2/1,2020/3/1,NA,NA,50
55_260,Zhang et al.,17,NA,NA,NA,12,9,7,1,7,6,1,NA,NA,NA,NA,Case Series,China,NA,NA,NA,NA,48.6
55_261,Zhang et al.,166,NA,NA,NA,139,136,90,30,63,99,NA,115,53,47,77,Case Series,China,2020/2/8,2020/3/21,NA,62.7,NA
55_263,Zhang et al.,4,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2019/12/8,2020/3/13,NA,0.02,NA
55_264,Zhao et al.,77,NA,NA,NA,66,24,25,5,NA,21,16,NA,NA,NA,1,Case Series,China,2020/1/21,2020/2/8,NA,52,NA
55_265,Zheng et al.,73,36,12,5,62,16,NA,6,NA,3,NA,NA,1,NA,1,Case Series,China,2020/1/16,2020/2/4,NA,43,NA
55_267,Zhu et al.,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/22,2020/2/2,NA,NA,51
55_268,Zhu et al.,14,11,3,1,13,1,NA,NA,1,1,NA,NA,1,NA,NA,Case Series,China,NA,NA,NA,46.9,NA
55_3,Ai et al.,102,NA,NA,NA,86,58,13,6,3,28,24,NA,NA,9,15,Case Series,China,2020/2/9,2020/2/10,NA,50.38,NA
55_30-confirmed COVID-19,Chen et al.,341,NA,NA,NA,216,170,32,NA,43,77,NA,48,NA,NA,17,Case Series,China,2020/1/1,2020/3/17,NA,NA,58
55_30-clinically diagnosed COVID-19,,563,NA,NA,NA,360,273,62,NA,74,135,NA,74,NA,NA,30,Cohort,China,2020/1/1,2020/3/17,NA,NA,53
55_31,Chen et al.,37,NA,NA,NA,36,26,16,NA,6,10,NA,14,3,NA,4,Case Series,China,2020/1/22,2020/2/14,NA,58.73,NA
55_32,Cheng et al.,5,NA,NA,NA,5,4,NA,NA,NA,NA,NA,2,NA,NA,NA,Case Series,China,2020/1/16,2020/3/28,NA,NA,66
55_33,Cheng et al.,710,NA,NA,NA,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,China,2020/1/28,2020/2/11,NA,NA,63
55_41-death,Deng et al.,109,NA,NA,NA,95,47,35,NA,NA,NA,NA,77,6,NA,19,Case Series,China,2020/1/1,2020/2/21,NA,NA,69
55_41-recoverd,Deng et al.,116,NA,NA,NA,94,38,14,NA,NA,NA,NA,22,7,NA,14,Case Series,China,2020/1/1,2020/2/21,NA,NA,40
55_45,Dong et al.,731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/16,2020/2/8,NA,NA,10
55_48-children,Du et al.,14,NA,NA,NA,5,3,1,NA,1,1,NA,0,1,0,0,Case Series,China,2020/1/23,2020/2/15,NA,NA,6.2
55_48-adults,Du et al.,53,NA,NA,NA,32,29,20,NA,7,17,NA,3,11,3,2,Case Series,China,2020/1/23,2020/2/15,NA,NA,41.47
55_51,Ellington et al.,83205,NA,NA,NA,18474,23554,NA,13681,20693,NA,13292,NA,22899,NA,10113,Case Series,US,2020/1/22,2020/6/7,NA,NA,NA
55_53,Fan et al.,37,NA,NA,NA,2,0,NA,0,0,0,2,0,1,2,0,Case Series,China,2020/3/3,2020/3/14,NA,NA,23
55_54,Fang et al.,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/19,2020/2/4,NA,NA,45
55_56,Farghaly et al.,15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,US,2020/3/1,2020/5/31,64,NA,NA
55_57,Fenizia,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,Italy,2020/3/1,2020/4/30,NA,NA,NA
55_60,Fu et al.,52,NA,NA,NA,45,18,23,NA,8,9,13,NA,4,1,7,Case Series,China,2020/1/1,2020/2/20,NA,NA,44.5
55_61,Fu et al.,75,NA,NA,NA,62,54,NA,12,6,NA,4,NA,NA,NA,6,Cohort,China,2020/1/20,2020/2/20,NA,46.6,NA
55_62,Fu et al.,220,NA,NA,NA,170,96,NA,NA,NA,105,NA,NA,NA,NA,120,Cohort,China,2020/1/1,2020/1/30,NA,NA,NA
55_64,Gao et al.,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/23,2020/2/2,NA,43.74,NA
55_65,Gervasoni et al.,47,NA,NA,NA,41,23,NA,NA,4,NA,NA,10,3,NA,7,Case Series,Italy,2020/2/21,2020/4/20,NA,51,NA
55_69,Guan et al.,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/12,2020/2/28,NA,41.5,NA
55_70,Guan et al.,1099,834,548,114,966,744,367,153,NA,419,204,NA,150,NA,41,Case Series,China,2020/1/29,2020/1/29,NA,NA,47
55_71,Guo et al.,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,NA,NA,NA,57.55,NA
55_73-mild,Han et al.,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/1,2020/2/18,NA,58.95,NA
55_73-severe,Han et al.,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/1,2020/2/18,NA,58.97,NA
55_73-critical,Han et al.,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/1,2020/2/18,NA,57.27,NA
55_74,Han et al.,17,11,9,2,14,8,2,NA,1,NA,1,NA,2,NA,NA,Case Series,China,2019/12/20,2020/2/2,NA,40,NA
55_77,He et al.,204,NA,NA,NA,146,84,42,NA,20,46,NA,70,14,NA,19,Case Series,China,2020/1/10,2020/2/13,NA,NA,49
55_79,Hou et al.,14,5,NA,NA,12,12,NA,NA,NA,NA,NA,3,NA,NA,NA,Case Series,China,2020/1/13,2020/2/12,NA,NA,59
55_8-mild,An et al.,11,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/23,2020/2/25,NA,NA,20
55_8-moderate,An et al.,27,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/23,2020/2/25,NA,NA,38
55_82,Huang et al.,54,NA,NA,NA,41,32,18,NA,9,25,5,NA,3,3,2,Case Series,China,2020/1/17,2020/2/10,NA,NA,41
55_85,Huang et al.,36,NA,NA,NA,34,28,8,NA,1,17,21,14,NA,NA,3,Case Series,China,2020/1/21,2020/2/10,NA,69.22,NA
55_86,Inui et al.,104,NA,NA,NA,11,20,NA,2,NA,10,NA,3,5,NA,2,Case Series,Japan,2020/2/7,2020/2/28,NA,62,NA
55_87,Ji et al.,33,NA,NA,NA,32,24,17,NA,11,16,NA,NA,NA,2,3,Case Series,China,2020/1/15,2020/2/12,NA,44.67,NA
55_88,Jiang et al.,7,NA,NA,NA,6,4,NA,NA,NA,NA,NA,1,1,2,NA,Case Series,China,2020/1/22,2020/3/5,NA,53.86,NA
55_89,Jiang et al.,60,NA,NA,NA,43,34,NA,5,NA,16,NA,NA,3,NA,6,Case Series,China,2020/1/31,2020/2/16,NA,NA,41
55_92,Kato et al.,70,NA,NA,NA,45,38,9,8,3,17,12,NA,6,NA,10,Case Series,Japan,2020/3/11,2020/3/19,NA,NA,67
55_96,Knight et al.,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,UK,2020/3/1,2020/4/14,NA,NA,NA
55_97,Korth et al.,316,NA,NA,NA,1,0,NA,0,1,NA,0,NA,2,NA,1,Case Series,Germany,2020/3/25,2020/4/21,311,36.7,NA
55_98,Kuang et al.,944,NA,NA,NA,584,311,NA,64,45,NA,NA,NA,75,NA,NA,Case Series,China,2020/1/1,2020/2/10,NA,47.4,NA
57_7,Zhu et al.,10,NA,NA,NA,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,Case Series,China,2020/1/20,2020/2/5,NA,NA,NA
58_1,Tenforde et al. ,274,NA,NA,NA,NA,167,NA,NA,NA,195,NA,NA,167,NA,NA,Case Series,US,2020/4/15,2020/6/25,NA,NA,NA
58_10,Mandal et al. ,384,NA,NA,NA,NA,131,NA,NA,NA,265,NA,NA,NA,NA,NA,Case Series,UK,NA,NA,NA,59.9,NA
58_11,Munro et al.,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,UK,NA,NA,NA,NA,64
58_12,Sonnweber et al.,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,Austria,NA,NA,NA,58,NA
58_13,Taquet et al.,62354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,US,2020/1/20,2020/8/1,4878,49.3,NA
58_14,Townsend et al. ,128,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,Cohort,Ireland,NA,NA,NA,49.5,NA
58_15,"Xiong, Q. et al. ",538,NA,NA,NA,446,297,77,NA,72,144,NA,27,NA,22,55,Case Control,China,NA,2020/3/1,184,NA,NA
58_3,Carf et al.,143,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,62,NA,NA,NA,Case Series,Italy,2020/4/21,2020/5/29,NA,56.5,NA
58_4,Carvalho-Schneider et al. ,150,76,76,NA,76,NA,NA,NA,NA,NA,49,NA,NA,NA,44,Case Series,France,2020/3/17,2020/6/3,NA,49,NA
58_5,Chopra et al.,1250,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,US,2020/3/16,2020/7/1,NA,NA,62
58_8,Horvath et al.,102,NA,NA,NA,54,61,NA,NA,49,NA,NA,NA,52,NA,NA,Case Series,Australia,2020/2/1,2020/4/30,NA,45,NA
58_9,Kamal et al.,287,NA,NA,NA,32,NA,NA,NA,NA,209,NA,81,83,NA,NA,Case Series,Egypt,NA,NA,NA,32.3,NA
66_3,Steinberger et al.,30,NA,NA,NA,16,8,NA,1,NA,NA,NA,1,NA,NA,1,Case Series,China,2020/1/23,2020/2/8,NA,NA,10
66_4,Parri et al.,130,NA,NA,NA,67,38,16,9,NA,NA,NA,NA,NA,NA,10,Case Series,Italy,2020/3/3,2020/3/26,NA,NA,6
66_5,Du et al.,182,NA,NA,NA,79,81,NA,NA,NA,5,2,NA,NA,2,9,Case Series,China,2020/1/28,2020/2/28,NA,NA,6
66_7,Mohammadi et al.,27,NA,NA,NA,16,23,NA,4,NA,NA,NA,16,2,4,1,Case Series,Japan,2020/1/25,2020/3/25,NA,4.7,NA
75_10,"COVID-19 National Emergency Response Center, Epidemiology and Case Management Team, Korea Centers for Disease Control and Prevention.",28,NA,NA,NA,9,NA,NA,9,4,NA,NA,NA,3,NA,NA,Case Series,Korea,2020/1/1,2020/2/14,NA,NA,42.6
75_13,Fernandez-Ruiz et al.,18,NA,NA,NA,14,11,1,1,4,NA,11,NA,NA,NA,4,Case Series,Spain,2020/3/5,2020/3/23,NA,NA,71
75_16,Hajifathalian et al.,1059,NA,NA,NA,717,682,NA,NA,NA,NA,625,NA,NA,168,234,Case Series,US,2020/3/4,2020/4/9,NA,61,NA
75_18-all,Hsih et al.,43,NA,NA,NA,24,23,9,9,6,NA,NA,4,5,NA,4,Cohort,Taiwan,2020/1/24,2020/2/28,41,34,NA
75_20,Huang et al.,11,NA,NA,NA,9,8,NA,NA,1,2,NA,NA,NA,NA,1,Case Series,China,2020/1/21,2020/1/24,NA,NA,NA
75_34-all,Nobel et al.,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,92,Case Control,US,2020/3/10,2020/3/21,238,NA,NA
75_34-covid positive,Nobel et al.,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,56,Case Control,US,2020/3/10,2020/3/21,NA,NA,NA
75_46,Tabata et al.,104,NA,NA,NA,36,43,NA,11,NA,NA,NA,19,18,NA,10,Case Series,Japan,2020/2/11,2020/2/25,NA,NA,68
75_54,Wei et al. ,84,NA,NA,NA,72,48,26,NA,NA,NA,NA,32,28,16,26,Case Series,China,2020/1/19,2020/2/7,NA,NA,37
75_65,Yang et al.,52,NA,NA,NA,13,9,NA,NA,1,5,NA,3,3,NA,1,Case Series,China,2020/1/1,2020/4/15,NA,NA,63
75_7,Chen et al.,9,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Case Series,China,NA,NA,NA,42.11,NA
75_70,Zhang et al.,14,NA,NA,NA,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case Series,China,2020/1/27,2020/2/10,NA,NA,41
75_77,Zhou et al.,254,NA,NA,NA,213,98,107,16,86,133,NA,10,28,NA,NA,Case Series,China,2019/12/20,2020/2/9,NA,50.6,NA
75_8,Chen et al.,145,NA,NA,NA,109,118,NA,NA,20,59,NA,3,24,24,39,Case Series,China,2020/1/1,2020/3/11,NA,47.5,NA
76_103,Fu et al.,50,28,19,8,28,24,10,1,NA,39,50,NA,NA,NA,11,Case Series,China,2020/2/9,2020/2/9,NA,NA,64
76_104-non severe,Gong et al.,161,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Case Series,China,2020/1/20,2020/3/2,NA,NA,45
76_104-severe,Gong et al.,28,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Case Series,China,2020/1/20,2020/3/2,NA,NA,63.5
76_108,Liao et al.,81,39,NA,NA,39,40,38,NA,NA,30,NA,25,NA,NA,NA,Cohort,China,2020/1/16,2020/3/15,NA,NA,50
76_109,"lei l., Jian-ya G.",51,NA,NA,NA,4,38,16,NA,6,22,NA,11,5,3,4,Case Series,China,2020/1/20,2020/2/3,NA,NA,45
76_110,Lei et al.,67,NA,NA,NA,7,13,NA,1,3,5,NA,2,NA,NA,1,Case Series,China,2020/1/4,2020/2/28,NA,39.3,NA
76_111,Leung et al.,50,NA,NA,NA,29,37,NA,12,12,NA,12,NA,NA,4,7,Case Series,China,2020/1/26,2020/2/28,NA,55.2,NA
76_113,Li et al.,47,NA,NA,NA,34,36,2,1,5,7,NA,3,3,2,3,Case Series,China,2020/2/8,2020/2/22,NA,NA,62
76_114,Li K et al.,102,NA,NA,NA,94,77,26,NA,24,35,NA,52,18,6,18,Case Series,China,2020/1/31,2020/3/5,NA,NA,NA
76_115-negative,Li Q et al.,53,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,China,2020/2/3,2020/2/7,53,NA,51
76_115-positive,Li Q et al.,52,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohort,China,2020/2/3,2020/2/7,NA,NA,57
76_118,Lin Y et al.,11,NA,NA,NA,9,6,NA,NA,1,4,NA,NA,1,NA,NA,Case Series,China,2020/1/20,2020/2/15,NA,NA,53
76_119,Liu et al.,40,63,26,9,36,33,21,NA,15,22,5,1,8,3,3,Case Series,China,2020/1/5,2020/1/24,NA,48.7,NA
76_12,Zhang et al.,9,NA,NA,NA,8,5,NA,NA,4,4,NA,NA,NA,NA,NA,Case Series,China,2020/1/18,2020/2/3,NA,NA,36
76_121,Liu et al.,153,NA,NA,NA,134,86,14,NA,29,47,NA,31,12,2,14,Case Series,China,2020/2/6,2020/2/14,NA,NA,54
76_122,Liu et al.,41,NA,NA,NA,34,26,16,NA,NA,NA,NA,12,2,NA,8,Case Series,China,2020/1/15,2020/1/24,NA,39.1,NA
76_123,Liu et al.,80,63,44,6,64,53,15,8,NA,36,44,NA,8,NA,15,Case Series,China,2020/1/21,2020/2/16,NA,NA,53
76_125,Lu et al.,265,NA,NA,NA,220,131,61,12,23,67,NA,5,26,NA,17,Case Series,China,2020/1/6,2020/2/9,NA,NA,NA
76_126-positive,Lu et al.,75,NA,NA,NA,50,44,NA,3,2,29,5,NA,6,2,5,Case Series,China,2020/1/21,2020/2/5,NA,NA,62
76_126-negative,Lu et al.,124,NA,NA,NA,71,62,NA,2,6,33,13,NA,3,NA,9,Case Series,China,2020/1/21,2020/2/5,NA,NA,57
76_127-source case,Luo et al.,69,48,21,6,51,38,36,NA,11,16,NA,NA,NA,NA,9,Cohort,China,2020/1/13,2020/3/6,NA,NA,NA
76_127-secondary case,,121,37,14,0,43,34,16,NA,5,13,NA,NA,NA,NA,1,Cohort,China,2020/1/13,2020/3/6,NA,NA,NA
76_128,Mao et al.,214,NA,NA,NA,132,107,NA,NA,NA,NA,NA,NA,NA,NA,41,Case Series,China,2020/1/16,2020/2/19,NA,52.7,NA
76_129,Miao et al.,62,NA,NA,NA,49,37,10,5,NA,NA,NA,3,5,NA,7,Case Series,China,2020/1/12,2020/2/13,NA,43.8,NA
76_130,Zhang et al.,89,NA,NA,NA,31,30,NA,NA,NA,8,NA,9,NA,NA,7,Cohort,China,2019/6/1,2020/3/20,NA,NA,NA
76_131,Easom et al.,68,NA,NA,NA,27,53,NA,39,NA,NA,17,NA,NA,NA,NA,Case Series,UK,2020/1/29,2020/2/24,NA,42.5,NA
76_132,Kujawski et al.,12,2,2,NA,7,8,NA,1,NA,5,1,NA,NA,1,1,Case Series,US,2020/1/20,2020/2/5,NA,NA,53
76_136,Marchese-Ragona et al.,6,1,1,1,1,1,NA,0,2,NA,NA,NA,NA,NA,NA,Case Series,Italy,NA,NA,NA,32.3,NA
